ra,dec,Source,Band
265.51610420544523,13.16209307591197,GTC,r
265.5192785338622,13.162517252524724,GTC,r
265.5157300830956,13.162657101640056,GTC,r
265.52472889087244,13.166559283638302,GTC,r
265.52203281164617,13.16695562339658,GTC,r
265.52158339921874,13.167510426598465,GTC,r
265.5207939066647,13.169465791671266,GTC,r
265.5266593838081,13.169855723308144,GTC,r
265.5283043619462,13.170718299484005,GTC,r
265.51721847938643,13.17118596279893,GTC,r
265.5134731505562,13.173810804684768,GTC,r
265.51716275551394,13.174210533590575,GTC,r
265.5153788651308,13.174879700311115,GTC,r
265.51501691434015,13.175698708948413,GTC,r
265.5131266615078,13.176580774602618,GTC,r
265.5238971571281,13.17690133951398,GTC,r
265.5260082638948,13.177343116878633,GTC,r
265.51890472278893,13.177829914656108,GTC,r
265.5248950981585,13.178123951770926,GTC,r
265.5223978507804,13.178266771127314,GTC,r
265.52325835373915,13.181571511821,GTC,r
265.5153786622921,13.179684486108355,GTC,r
265.5185709862226,13.179449892548616,GTC,r
265.5097740789841,13.170166130868044,GTC,r
265.5163287637289,13.173519863339305,GTC,r
265.51800028411844,13.166601697528634,GTC,r
265.52060433892916,13.178098669697926,GTC,r
265.5194455625873,13.169296168141232,GTC,r
265.5199047515333,13.160362498586318,GTC,r
265.52401652426397,13.173363245430405,GTC,r
265.52509947265133,13.175761990134921,GTC,r
265.5265662766419,13.172101182204385,GTC,r
265.5251190552429,13.169463589856852,GTC,r
265.5246656861389,13.167402667557859,GTC,r
265.521166324145,13.1741878051823,Gaia,r
265.52133474738497,13.170963201987199,Gaia,r
265.52933896350703,13.1756241268688,Gaia,r
265.520834612114,13.168602942074699,PanSTARRS,r
