ra,dec,Source,Band
292.9638771641096,-26.459374532810717,GTC,g
292.9688039988032,-26.4591888124384,GTC,g
292.96005537120203,-26.458983252280284,GTC,g
292.96263228653856,-26.45877779915832,GTC,g
292.96223138844397,-26.45838890877207,GTC,g
292.96296420931577,-26.457933394391144,GTC,g
292.9617071417875,-26.45705102067789,GTC,g
292.96067503164767,-26.456319422526988,GTC,g
292.9664426440492,-26.45624047979695,GTC,g
292.95503172304194,-26.455703995567703,GTC,g
292.9716674573551,-26.454427152419697,GTC,g
292.96828026698546,-26.453025723392813,GTC,g
292.971485996627,-26.452445947525906,GTC,g
292.9678405945705,-26.452129130385647,GTC,g
292.96174669600737,-26.45137830447824,GTC,g
292.9569390511737,-26.450791127419446,GTC,g
292.95429027702045,-26.45040397540815,GTC,g
292.97233303462014,-26.450384319088677,GTC,g
292.9551865411284,-26.44935024474889,GTC,g
292.9691876016425,-26.44861281815156,GTC,g
292.9570045346354,-26.449425422976645,GTC,g
292.97364067083265,-26.448534562046625,GTC,g
292.9641710692987,-26.448413015574502,GTC,g
292.9648602942535,-26.44835704486692,GTC,g
292.9520070574948,-26.44938445069447,GTC,g
292.95263887774917,-26.448624499010158,GTC,g
292.9675076348596,-26.447207446873165,GTC,g
292.9704336701936,-26.44634290944425,GTC,g
292.9562996597575,-26.44591387322666,GTC,g
292.96415925247607,-26.44722589699236,GTC,g
292.96122763190294,-26.445245418314386,GTC,g
292.97053152545584,-26.44477865990602,GTC,g
292.96047325905306,-26.444919759500237,GTC,g
292.959181681899,-26.443197525288593,GTC,g
292.95903124815715,-26.44181213202703,GTC,g
292.95960877360335,-26.441374470355964,GTC,g
292.9634666017812,-26.44177162918091,GTC,g
292.9634666017812,-26.44177162918091,GTC,g
292.96314048208694,-26.439095099291603,GTC,g
292.963579855479,-26.4544844820574,Gaia,g
292.963758072789,-26.4459641877744,Gaia,g
292.973157311652,-26.4520650263176,PanSTARRS,g
292.960341663905,-26.4485431353127,PanSTARRS,g
